pmid,current_affiliation
23722156,FALSE
24211103,FALSE
26074980,TRUE
28646571,FALSE
29219245,TRUE
29319146,TRUE
29908024,TRUE
31754797,FALSE
31872037,TRUE
31922124,TRUE
32029106,FALSE
32206093,FALSE
32456943,FALSE
32472249,TRUE
32642384,FALSE
32814771,FALSE
32855578,FALSE
33015307,TRUE
33061715,FALSE
33398228,FALSE
34185233,TRUE
34579633,FALSE
34620344,FALSE
34754674,TRUE
35030716,FALSE
35070529,TRUE
35320260,FALSE
35472207,FALSE
35778661,FALSE
35989831,FALSE
36015202,FALSE
36536671,FALSE
36579259,FALSE
36678849,FALSE
36793829,FALSE
36986433,FALSE
37051338,FALSE
37131380,FALSE
37508263,FALSE
37623182,TRUE
38154352,FALSE
38157783,FALSE
38206937,FALSE
38261891,FALSE
38328797,FALSE
38526617,FALSE
38997509,FALSE
39070694,FALSE
39185386,FALSE
39330247,FALSE
39537123,FALSE
39666248,FALSE
39806374,FALSE
39813178,FALSE
39956886,FALSE
40092220,FALSE
40435695,FALSE
40577936,FALSE
40598104,FALSE
40622572,FALSE
40622593,FALSE
