pmid,current_affiliation
14993154,FALSE
16014763,FALSE
16242595,FALSE
16496087,FALSE
19966247,FALSE
20214790,FALSE
21343841,FALSE
21714323,FALSE
21831318,TRUE
23711189,TRUE
23759123,FALSE
23925380,FALSE
24282566,FALSE
24336535,FALSE
24591493,FALSE
24735702,FALSE
25165839,FALSE
25676638,FALSE
25713970,TRUE
25943182,FALSE
26517325,FALSE
26680439,FALSE
26769790,TRUE
26923923,TRUE
27384044,FALSE
27398358,FALSE
27427562,FALSE
27455978,TRUE
27670707,TRUE
27729059,TRUE
28193290,TRUE
28225780,TRUE
28401113,TRUE
28410398,TRUE
28893808,TRUE
29447177,TRUE
29680329,TRUE
29715590,TRUE
30068611,TRUE
30075019,TRUE
30413165,TRUE
30420371,TRUE
30541330,TRUE
30646279,TRUE
30676787,TRUE
30799160,TRUE
30886887,TRUE
31055943,TRUE
31248276,TRUE
31250354,TRUE
31368037,TRUE
31526408,TRUE
31604754,TRUE
31615271,TRUE
31660976,TRUE
31923231,TRUE
31948864,TRUE
32249732,TRUE
32275680,TRUE
32529696,TRUE
32761161,TRUE
32856464,FALSE
33170496,TRUE
33769096,TRUE
34003876,TRUE
34792415,FALSE
34794988,TRUE
34932392,TRUE
35235073,TRUE
35338547,TRUE
35341093,FALSE
35594288,TRUE
35809528,TRUE
35948961,TRUE
35992759,TRUE
36518095,TRUE
36871893,TRUE
37164452,TRUE
37219371,TRUE
37419671,TRUE
37501606,TRUE
37874825,TRUE
37967621,TRUE
38264949,TRUE
38501679,FALSE
38607479,TRUE
39141615,FALSE
39141616,FALSE
39148671,TRUE
39308388,FALSE
39803212,TRUE
40208661,FALSE
40235550,TRUE
40305058,TRUE
40437525,TRUE
40482712,TRUE
40501102,TRUE
40516562,TRUE
40523744,TRUE
