pmid,current_affiliation
11860614,FALSE
11967146,TRUE
12022339,FALSE
12586673,TRUE
12624619,TRUE
14523610,TRUE
14586909,FALSE
14716043,TRUE
15209650,FALSE
15226525,TRUE
15313737,FALSE
15476562,TRUE
15694571,FALSE
16143046,TRUE
16287007,TRUE
16541990,FALSE
16549261,TRUE
16675323,FALSE
16702080,TRUE
16808784,FALSE
17208118,FALSE
17224820,TRUE
17268268,FALSE
17295434,TRUE
17440360,TRUE
17884596,TRUE
18299001,TRUE
18299002,TRUE
18682759,TRUE
18687286,TRUE
18693864,FALSE
18722088,FALSE
19521013,TRUE
19521015,FALSE
19680521,TRUE
19896801,FALSE
20933458,TRUE
21051677,TRUE
21300179,TRUE
21533657,TRUE
21673624,TRUE
21939608,TRUE
22020597,FALSE
22794705,FALSE
22938161,TRUE
23449757,FALSE
23674445,FALSE
23759696,FALSE
23822892,FALSE
23925995,FALSE
24115893,TRUE
24155802,TRUE
24155805,FALSE
24155806,TRUE
24737915,FALSE
25078935,TRUE
25201587,TRUE
25538769,FALSE
26269747,TRUE
27668334,TRUE
27810132,TRUE
27965808,FALSE
28127309,FALSE
28164718,FALSE
28219685,FALSE
28545498,FALSE
28869405,FALSE
29173262,TRUE
29473482,FALSE
29474391,FALSE
30370820,TRUE
30690776,FALSE
33949270,FALSE
37915342,TRUE
