pmid,current_affiliation
22688489,FALSE
22691593,FALSE
23681877,FALSE
24324220,FALSE
26973014,FALSE
27444176,FALSE
27956447,FALSE
28235887,TRUE
28650204,FALSE
28679467,FALSE
29255639,FALSE
29546046,FALSE
30310687,TRUE
30355567,TRUE
30610923,TRUE
30660644,TRUE
30838057,TRUE
30912218,TRUE
31421110,TRUE
31515408,TRUE
31980869,TRUE
32027687,TRUE
32049547,FALSE
32323482,TRUE
32339657,TRUE
32420316,TRUE
32613017,TRUE
32627514,TRUE
32703776,TRUE
33043042,TRUE
33259976,TRUE
33263068,TRUE
33446611,TRUE
33614985,TRUE
33707168,TRUE
33784625,FALSE
34007841,TRUE
34028047,TRUE
34046485,TRUE
34166381,TRUE
34192396,TRUE
34261745,TRUE
34295428,TRUE
34549048,TRUE
34571095,TRUE
34831729,TRUE
34912884,TRUE
34972684,TRUE
34988470,TRUE
34990408,TRUE
35169025,TRUE
35198625,TRUE
35273031,TRUE
35295233,TRUE
35295236,TRUE
35312483,TRUE
35569802,TRUE
35651367,TRUE
35895098,TRUE
35954653,TRUE
36227349,TRUE
36309151,FALSE
36372083,TRUE
36478916,TRUE
36647475,TRUE
36808540,TRUE
37060576,TRUE
37336227,TRUE
37357419,TRUE
37552695,TRUE
37694849,TRUE
37794659,TRUE
37879447,TRUE
38020564,TRUE
38347595,TRUE
38349375,TRUE
38354487,TRUE
38598774,TRUE
38726474,TRUE
38867086,TRUE
39060015,TRUE
39088459,TRUE
39269458,TRUE
39362666,TRUE
39521464,TRUE
39557290,TRUE
39593765,TRUE
39722320,TRUE
40088918,TRUE
40129554,TRUE
40315139,TRUE
40491461,TRUE
40551795,TRUE
40589909,TRUE
40603330,TRUE
