pmid,current_affiliation
20397344,FALSE
21450202,FALSE
29199388,TRUE
29230521,TRUE
30046155,TRUE
31248929,TRUE
31489445,TRUE
31588983,TRUE
31647308,TRUE
32004196,TRUE
32058375,TRUE
32058387,TRUE
32123992,TRUE
32408108,TRUE
32546277,TRUE
33000892,TRUE
33207388,TRUE
34036269,TRUE
34546300,TRUE
34606320,TRUE
34677620,TRUE
34709209,TRUE
35046010,TRUE
35411491,TRUE
35534059,TRUE
35608319,TRUE
35714455,TRUE
35718762,TRUE
35724443,TRUE
35777925,TRUE
36419633,TRUE
36631807,TRUE
36682909,TRUE
36825593,TRUE
36870801,TRUE
36994496,TRUE
37052435,TRUE
37052436,TRUE
37208143,TRUE
37408988,TRUE
37644556,TRUE
37682876,TRUE
37709649,TRUE
37985500,TRUE
38173057,TRUE
38194760,TRUE
38447306,TRUE
38559746,TRUE
38604643,TRUE
38775498,TRUE
38807151,TRUE
38874580,TRUE
38875111,TRUE
38900282,TRUE
39007570,TRUE
39007578,TRUE
39300571,TRUE
39341602,TRUE
39731129,TRUE
40023080,TRUE
40127663,TRUE
40261868,TRUE
40272225,FALSE
40315134,TRUE
40334453,TRUE
40459385,TRUE
40641669,TRUE
40719551,TRUE
