pmid,current_affiliation
11988460,FALSE
12115226,FALSE
12124860,FALSE
12181086,FALSE
12189495,FALSE
12446258,FALSE
12488481,FALSE
12517363,FALSE
12557407,FALSE
12687546,FALSE
12766811,FALSE
12883632,FALSE
12883638,FALSE
12930631,FALSE
14538058,FALSE
14680565,FALSE
14714579,FALSE
14718214,FALSE
14728630,FALSE
14732874,FALSE
14999205,FALSE
15003803,FALSE
15003963,FALSE
15020151,FALSE
15077301,FALSE
15146419,FALSE
15188358,FALSE
15222027,FALSE
15309737,FALSE
15321818,FALSE
15346200,FALSE
15459511,FALSE
15490235,FALSE
15548426,FALSE
15593215,FALSE
15642856,FALSE
15824181,FALSE
15877990,FALSE
15880346,FALSE
15933036,FALSE
15972932,FALSE
15982814,FALSE
16102867,FALSE
16145676,FALSE
16168879,FALSE
16265702,FALSE
16266458,FALSE
16266472,FALSE
16267879,FALSE
16269957,FALSE
16342101,FALSE
16362809,FALSE
16495019,FALSE
16570075,FALSE
16626576,FALSE
16638362,FALSE
16646037,FALSE
16671337,FALSE
16677547,FALSE
16754636,FALSE
16758506,FALSE
16765146,FALSE
16767667,FALSE
16767720,FALSE
16796921,FALSE
16824853,FALSE
16869718,FALSE
16945617,FALSE
16963299,FALSE
16995305,FALSE
17007634,FALSE
17034892,FALSE
17075853,FALSE
17106196,FALSE
17161754,FALSE
17211701,FALSE
17217721,FALSE
17239026,FALSE
17266077,FALSE
17336560,FALSE
17343731,FALSE
17380461,FALSE
17393450,FALSE
17400203,FALSE
17414675,FALSE
17551751,FALSE
17568185,FALSE
17568601,FALSE
17691569,FALSE
17711655,FALSE
17901861,FALSE
17907484,FALSE
17937461,FALSE
17973092,FALSE
18003899,FALSE
18049197,FALSE
18061699,FALSE
18094619,FALSE
18192839,FALSE
18283033,FALSE
18307536,FALSE
18438196,FALSE
18449921,FALSE
18462960,FALSE
18466847,FALSE
18476522,FALSE
18570926,FALSE
18658029,FALSE
18668597,FALSE
18687270,FALSE
18691483,FALSE
18729854,FALSE
18793000,FALSE
18841490,FALSE
18953877,FALSE
19012359,FALSE
19030927,FALSE
19074777,FALSE
19093214,FALSE
19114980,FALSE
19183381,FALSE
19194824,FALSE
19260505,FALSE
19404977,FALSE
19405001,FALSE
19457837,FALSE
19459383,FALSE
19565930,FALSE
19584728,FALSE
19635831,FALSE
19680137,FALSE
19700505,FALSE
19718756,FALSE
19755388,FALSE
19798097,FALSE
19853645,FALSE
19912736,FALSE
19940547,FALSE
19941157,FALSE
20005286,FALSE
20021921,FALSE
20023433,FALSE
20079131,FALSE
20079152,FALSE
20098960,FALSE
20099550,FALSE
20160059,FALSE
20191572,FALSE
20234859,FALSE
20337639,FALSE
20356552,FALSE
20368089,FALSE
20421344,FALSE
20423208,FALSE
20506398,FALSE
20530753,FALSE
20617531,FALSE
20699159,FALSE
20718217,FALSE
20805117,FALSE
20846454,FALSE
20889594,FALSE
20923429,FALSE
20967221,FALSE
20973219,FALSE
21046325,FALSE
21091634,FALSE
21122987,FALSE
21187293,FALSE
21190567,FALSE
21201078,FALSE
21201138,FALSE
21206274,FALSE
21227642,FALSE
21253735,FALSE
21280424,FALSE
21323132,FALSE
21331303,FALSE
21332484,FALSE
21360498,FALSE
21391891,FALSE
21429413,FALSE
21435695,FALSE
21487921,FALSE
21498481,FALSE
21553056,FALSE
21578783,FALSE
21580096,FALSE
21581622,FALSE
21582690,FALSE
21604173,FALSE
21613825,FALSE
21647861,FALSE
21664050,FALSE
21764842,FALSE
21791448,FALSE
21799838,FALSE
21846144,FALSE
21869903,FALSE
21981870,FALSE
22094921,FALSE
22101964,FALSE
22136732,FALSE
22147711,FALSE
22238208,FALSE
22240117,FALSE
22258770,FALSE
22329591,FALSE
22405053,FALSE
22422651,FALSE
22540019,FALSE
22575392,FALSE
22586165,FALSE
22640239,FALSE
22645666,FALSE
22648933,FALSE
22886340,FALSE
22898200,FALSE
22899342,FALSE
22904260,FALSE
22912869,FALSE
22930596,FALSE
22936980,FALSE
22956600,FALSE
22981262,FALSE
22990352,FALSE
23023818,FALSE
23026288,FALSE
23051974,FALSE
23080226,FALSE
23123139,FALSE
23147198,FALSE
23212971,FALSE
23223989,FALSE
23225583,FALSE
23265178,FALSE
23270763,FALSE
23291181,FALSE
23312408,FALSE
23345599,FALSE
23371461,FALSE
23433758,FALSE
23469089,FALSE
23538108,FALSE
23557786,FALSE
23618720,FALSE
23650083,FALSE
23696679,FALSE
23710230,FALSE
23776040,FALSE
23799016,FALSE
23819221,FALSE
23824061,FALSE
23851944,FALSE
23857777,FALSE
23878593,FALSE
23878605,FALSE
23894401,FALSE
23935689,FALSE
23966166,FALSE
24013118,FALSE
24029863,FALSE
24047870,FALSE
24054179,FALSE
24115595,FALSE
24133614,FALSE
24144566,FALSE
24172239,FALSE
24185762,FALSE
24204842,FALSE
24253535,FALSE
24296923,FALSE
24330779,FALSE
24429179,FALSE
24432033,FALSE
24440541,FALSE
24453845,FALSE
24516668,FALSE
24531749,FALSE
24553114,FALSE
24587809,FALSE
24592492,FALSE
24615708,FALSE
24626784,FALSE
24651079,FALSE
24665118,FALSE
24671567,FALSE
24686510,FALSE
24706555,FALSE
24723331,FALSE
24751414,FALSE
24761283,FALSE
24786943,FALSE
24827470,FALSE
24837498,FALSE
24837917,FALSE
24876820,FALSE
24877249,FALSE
24886823,FALSE
24923633,FALSE
24979302,FALSE
24979303,FALSE
24988039,FALSE
24990963,FALSE
24993733,FALSE
24998011,FALSE
25050837,FALSE
25120636,FALSE
25143324,FALSE
25154713,FALSE
25177729,FALSE
25227795,FALSE
25277955,FALSE
25299075,FALSE
25326208,TRUE
25373178,FALSE
25373601,FALSE
25380667,FALSE
25422054,FALSE
25423894,FALSE
25431413,FALSE
25469817,FALSE
25477988,TRUE
25504842,FALSE
25569652,TRUE
25579945,FALSE
25636242,TRUE
25636788,TRUE
25652798,TRUE
25654379,TRUE
25681311,FALSE
25689398,FALSE
25723456,FALSE
25739830,FALSE
25740113,FALSE
25747239,FALSE
25780933,FALSE
25784130,FALSE
25784774,FALSE
25812021,FALSE
25819282,FALSE
25890222,FALSE
25892192,TRUE
25895088,FALSE
25905529,FALSE
25908217,FALSE
25919841,FALSE
25928058,FALSE
25990648,FALSE
26012350,FALSE
26033397,TRUE
26039529,FALSE
26043339,FALSE
26051584,TRUE
26051586,TRUE
26078813,FALSE
26081398,FALSE
26102584,FALSE
26117747,FALSE
26136229,FALSE
26156210,FALSE
26167669,TRUE
26202162,TRUE
26236919,FALSE
26240058,FALSE
26245753,FALSE
26248560,FALSE
26268485,FALSE
26271762,FALSE
26300793,FALSE
26331443,FALSE
26353868,FALSE
26396220,FALSE
26414125,FALSE
26443658,FALSE
26474054,FALSE
26477891,FALSE
26537356,FALSE
26544076,FALSE
26560992,TRUE
26623102,FALSE
26647013,FALSE
26664786,FALSE
26674687,FALSE
26691910,FALSE
26705330,FALSE
26715102,FALSE
26719310,TRUE
26762622,FALSE
26780185,FALSE
26824456,FALSE
26838865,FALSE
26838924,FALSE
26842612,FALSE
26871200,FALSE
26874810,TRUE
26876933,FALSE
26933855,FALSE
26947756,FALSE
26979318,FALSE
26983451,FALSE
26997509,FALSE
27020762,FALSE
27033209,FALSE
27039962,FALSE
27054666,FALSE
27058963,FALSE
27098785,FALSE
27158972,FALSE
27184615,FALSE
27186419,FALSE
27190096,FALSE
27248139,FALSE
27255450,FALSE
27257845,FALSE
27289172,FALSE
27301683,FALSE
27329012,FALSE
27331767,FALSE
27338777,FALSE
27342008,FALSE
27385979,FALSE
27391816,FALSE
27436373,FALSE
27500301,FALSE
27512964,FALSE
27555080,TRUE
27575479,FALSE
27720852,FALSE
27756878,FALSE
27770564,FALSE
27781379,FALSE
27820878,FALSE
27823935,FALSE
27843321,FALSE
27845169,FALSE
27884858,TRUE
27899003,FALSE
27919695,FALSE
27989281,FALSE
28029234,FALSE
28066468,FALSE
28074643,FALSE
28085230,FALSE
28102337,FALSE
28122760,FALSE
28229068,FALSE
28250138,FALSE
28254280,FALSE
28254297,FALSE
28279773,FALSE
28374094,FALSE
28381514,FALSE
28383560,FALSE
28391140,FALSE
28447401,FALSE
28453574,FALSE
28464477,FALSE
28480422,FALSE
28536116,FALSE
28546257,FALSE
28579378,TRUE
28583378,TRUE
28590125,FALSE
28596796,FALSE
28607349,FALSE
28698231,FALSE
28760243,FALSE
28760574,FALSE
28794173,FALSE
28801423,FALSE
28815840,FALSE
28970780,FALSE
28988071,FALSE
28988204,FALSE
29024045,FALSE
29030657,FALSE
29042195,FALSE
29048675,FALSE
29049153,FALSE
29064948,FALSE
29065924,FALSE
29069739,FALSE
29102956,FALSE
29115403,FALSE
29121273,FALSE
29149675,FALSE
29167846,FALSE
29170676,FALSE
29192184,FALSE
29193837,FALSE
29210861,FALSE
29237567,FALSE
29247651,FALSE
29265725,FALSE
29306886,FALSE
29317595,FALSE
29358282,FALSE
29358690,FALSE
29361200,FALSE
29378683,FALSE
29386668,FALSE
29416337,FALSE
29444907,FALSE
29450979,FALSE
29452223,TRUE
29455067,FALSE
29467344,FALSE
29479346,FALSE
29506178,FALSE
29530911,FALSE
29532240,FALSE
29540490,FALSE
29552084,TRUE
29556340,FALSE
29615456,FALSE
29653927,FALSE
29674321,FALSE
29679072,FALSE
29680424,FALSE
29696437,FALSE
29703733,FALSE
29749480,FALSE
29759195,FALSE
29760156,FALSE
29772079,FALSE
29800687,TRUE
29800864,FALSE
29801703,FALSE
29855280,FALSE
29858547,FALSE
29859444,FALSE
29909375,FALSE
29913198,FALSE
29923197,FALSE
29944094,FALSE
29948925,FALSE
29950489,FALSE
29974621,FALSE
29976231,FALSE
30001694,FALSE
30002103,TRUE
30006672,FALSE
30028377,FALSE
30044548,FALSE
30048032,FALSE
30068705,FALSE
30076774,FALSE
30080395,FALSE
30086914,FALSE
30090482,FALSE
30173155,FALSE
30202918,FALSE
30208910,FALSE
30225916,FALSE
30233685,FALSE
30237489,FALSE
30268622,FALSE
30273564,FALSE
30277862,FALSE
30304329,FALSE
30307131,FALSE
30322664,FALSE
30333153,FALSE
30337863,FALSE
30337946,FALSE
30342032,FALSE
30344692,FALSE
30355620,FALSE
30383099,FALSE
30397442,FALSE
30405313,FALSE
30419400,FALSE
30444315,FALSE
30465325,FALSE
30488369,FALSE
30496804,FALSE
30498788,FALSE
30510069,FALSE
30517729,FALSE
30525279,FALSE
30526116,FALSE
30547765,FALSE
30557812,FALSE
30573476,FALSE
30583373,FALSE
30612117,TRUE
30637462,FALSE
30656437,FALSE
30663479,FALSE
30665236,FALSE
30675216,FALSE
30683850,FALSE
30690536,FALSE
30706989,FALSE
30715841,FALSE
30733818,FALSE
30744028,FALSE
30773857,FALSE
30783436,FALSE
30790975,FALSE
30800168,FALSE
30811649,FALSE
30860559,FALSE
30873099,FALSE
30889706,FALSE
30908893,FALSE
30920922,FALSE
30936279,FALSE
30973226,FALSE
30983951,FALSE
30994703,FALSE
31011962,FALSE
31020783,FALSE
31021318,FALSE
31056266,FALSE
31073852,FALSE
31074030,FALSE
31078858,FALSE
31089420,FALSE
31091382,FALSE
31105756,FALSE
31119930,FALSE
31131972,FALSE
31160974,FALSE
31162829,FALSE
31178173,FALSE
31181215,FALSE
31235418,FALSE
31236345,FALSE
31255700,FALSE
31275238,FALSE
31299357,TRUE
31312880,FALSE
31324659,TRUE
31328440,FALSE
31351433,FALSE
31366470,FALSE
31371194,FALSE
31386130,FALSE
31388047,FALSE
31399446,TRUE
31456150,FALSE
31467266,FALSE
31485625,FALSE
31486212,FALSE
31488082,FALSE
31495993,FALSE
31499949,FALSE
31532913,FALSE
31545278,FALSE
31564156,FALSE
31603618,FALSE
31609088,FALSE
31622005,FALSE
31670358,FALSE
31677914,FALSE
31696632,FALSE
31711924,FALSE
31716123,FALSE
31729180,FALSE
31742891,FALSE
31743716,FALSE
31764468,FALSE
31767230,FALSE
31773883,FALSE
31812544,FALSE
31816164,FALSE
31816178,FALSE
31822599,FALSE
31836392,FALSE
31839302,FALSE
31841279,FALSE
31846030,FALSE
31851429,FALSE
31862593,FALSE
31891407,FALSE
31891447,FALSE
31891452,FALSE
31891454,FALSE
31918151,FALSE
31923493,FALSE
31926422,FALSE
31927113,FALSE
31944159,FALSE
31945255,FALSE
31955506,FALSE
31955513,FALSE
31961495,FALSE
31966560,FALSE
31966601,FALSE
31980613,FALSE
31993131,FALSE
32004847,FALSE
32020683,FALSE
32038958,FALSE
32040553,TRUE
32087740,FALSE
32095073,FALSE
32146866,FALSE
32147885,FALSE
32150612,TRUE
32153995,FALSE
32176725,FALSE
32179229,FALSE
32187098,FALSE
32206302,FALSE
32210622,FALSE
32212952,FALSE
32217188,FALSE
32224206,FALSE
32226491,FALSE
32243810,FALSE
32256367,FALSE
32259758,FALSE
32282021,FALSE
32289163,TRUE
32289164,TRUE
32289693,FALSE
32337846,FALSE
32352013,FALSE
32403475,FALSE
32421192,FALSE
32472462,FALSE
32516671,FALSE
32532160,FALSE
32537908,FALSE
32560086,FALSE
32563306,FALSE
32593677,FALSE
32594175,FALSE
32615989,FALSE
32622007,FALSE
32641996,FALSE
32663106,FALSE
32663693,FALSE
32685054,FALSE
32693090,FALSE
32702151,FALSE
32717635,FALSE
32853819,FALSE
32857096,FALSE
32882446,FALSE
32912291,FALSE
32938637,FALSE
32940708,FALSE
32952498,FALSE
32993864,FALSE
33007077,TRUE
33015620,FALSE
33023564,FALSE
33026684,FALSE
33027035,FALSE
33046560,TRUE
33055045,FALSE
33085874,FALSE
33086429,FALSE
33107090,FALSE
33109074,FALSE
33115165,FALSE
33119548,FALSE
33162929,FALSE
33164794,FALSE
33186328,TRUE
33190399,FALSE
33200581,FALSE
33212237,FALSE
33242095,FALSE
33242160,FALSE
33245114,FALSE
33252178,FALSE
33257496,FALSE
