pmid,current_affiliation
11829579,FALSE
11873920,FALSE
11880910,TRUE
11886908,TRUE
11886922,TRUE
11940624,TRUE
11995882,TRUE
12012035,TRUE
12026889,TRUE
12054406,TRUE
12072762,TRUE
12136294,TRUE
12142830,TRUE
12172277,TRUE
12208928,TRUE
12352564,TRUE
12358372,TRUE
12384193,FALSE
12394874,TRUE
12435258,TRUE
12439195,TRUE
12468969,TRUE
12533587,TRUE
12567146,TRUE
12571495,FALSE
12571507,TRUE
12679694,TRUE
12720013,FALSE
12759640,TRUE
12784015,TRUE
12796341,TRUE
12819628,FALSE
12843735,FALSE
12897590,FALSE
12897592,FALSE
12897597,TRUE
12897604,FALSE
12897605,TRUE
12900482,TRUE
12913042,TRUE
12925643,TRUE
12954824,TRUE
14504586,TRUE
14520043,FALSE
14569218,FALSE
14576955,TRUE
14604884,TRUE
14608466,TRUE
14609977,TRUE
14662277,TRUE
14711297,FALSE
14712157,FALSE
14743037,TRUE
14970094,TRUE
14970807,TRUE
14997929,TRUE
15022817,TRUE
15087974,TRUE
15118046,TRUE
15136545,TRUE
15144165,FALSE
15180234,FALSE
15184339,TRUE
15213498,TRUE
15232452,TRUE
15260426,FALSE
15260427,TRUE
15264385,TRUE
15282889,TRUE
15289698,TRUE
15292420,TRUE
15468026,TRUE
15471756,TRUE
15528623,FALSE
15552165,FALSE
15565303,TRUE
15590868,FALSE
15617948,TRUE
15631963,TRUE
15632401,TRUE
15637373,TRUE
15677926,TRUE
15677932,FALSE
15687150,TRUE
15751364,FALSE
15827841,TRUE
15827842,TRUE
15845332,FALSE
15887791,TRUE
15891550,FALSE
15930946,FALSE
15996966,TRUE
16003200,FALSE
16056058,FALSE
16075274,TRUE
16103507,TRUE
16131895,FALSE
16140828,FALSE
16156453,TRUE
16263619,TRUE
16322612,TRUE
16322635,FALSE
16340221,TRUE
16374290,TRUE
16394925,TRUE
16408582,TRUE
16424818,FALSE
16462566,FALSE
16473356,TRUE
16487524,TRUE
16487527,TRUE
16531182,FALSE
16531183,TRUE
16534719,FALSE
16580674,FALSE
16630418,TRUE
16648708,FALSE
16672904,TRUE
16752291,FALSE
16762667,FALSE
16766943,FALSE
16891946,TRUE
16965628,TRUE
16990062,FALSE
17079430,FALSE
17088672,TRUE
17159694,TRUE
17200328,TRUE
17211275,TRUE
17332104,TRUE
17332110,FALSE
17382003,TRUE
17409754,TRUE
17415006,TRUE
17453386,TRUE
17464602,FALSE
17464619,TRUE
17550715,TRUE
17606794,TRUE
17611848,FALSE
17704930,FALSE
17762489,FALSE
17768194,FALSE
17960679,TRUE
17966018,TRUE
17974910,FALSE
18056489,FALSE
18073614,TRUE
18188116,FALSE
18196428,FALSE
18215287,TRUE
18230147,TRUE
18248701,TRUE
18283565,FALSE
18292358,FALSE
18310710,FALSE
18381304,FALSE
18451395,TRUE
18502423,TRUE
18508054,FALSE
18519310,FALSE
18540851,TRUE
18540852,TRUE
18540853,TRUE
18540854,TRUE
18540855,TRUE
18540856,TRUE
18540857,TRUE
18540859,TRUE
18559869,FALSE
18560849,FALSE
18573205,FALSE
18577202,FALSE
18594110,TRUE
18594301,FALSE
18670288,FALSE
18682757,FALSE
18722197,FALSE
18758349,FALSE
18762645,FALSE
18778914,FALSE
18801503,TRUE
18839377,TRUE
18978400,TRUE
18978412,FALSE
19007970,FALSE
19047701,TRUE
19091333,FALSE
19232916,TRUE
19234892,FALSE
19245993,TRUE
19251751,FALSE
19255814,FALSE
19292352,FALSE
19364637,FALSE
19388614,FALSE
19411477,FALSE
19411492,FALSE
19411493,TRUE
19411496,TRUE
19411497,TRUE
19411498,FALSE
19411500,FALSE
19411501,FALSE
19411504,TRUE
19411505,TRUE
19411506,FALSE
19411507,TRUE
19464394,FALSE
19468455,FALSE
19468493,FALSE
19550222,FALSE
19550225,TRUE
19550226,FALSE
19550232,FALSE
19550235,TRUE
19550236,FALSE
19550238,TRUE
19576400,FALSE
19620741,TRUE
19654184,FALSE
19716266,FALSE
19782857,FALSE
19812403,FALSE
19826513,TRUE
19826514,TRUE
19826519,TRUE
19826520,TRUE
19826521,TRUE
19833449,FALSE
19838357,FALSE
19838361,TRUE
19838362,TRUE
19838366,TRUE
19865573,FALSE
19884268,FALSE
19910864,FALSE
19936141,TRUE
19996801,FALSE
20011190,TRUE
20047693,FALSE
20048095,TRUE
20100417,TRUE
20142732,TRUE
20146638,TRUE
20170424,FALSE
20182228,FALSE
20182238,FALSE
20182241,TRUE
20182242,TRUE
20182243,FALSE
20182244,FALSE
20334746,FALSE
20360501,FALSE
20360530,FALSE
20399352,FALSE
20399355,FALSE
20416039,TRUE
20430799,TRUE
20439655,FALSE
20507795,TRUE
20516332,FALSE
20629474,FALSE
20646403,TRUE
20663639,FALSE
20686893,FALSE
20800445,TRUE
20837683,FALSE
20858381,FALSE
20939776,TRUE
20939777,FALSE
20939779,TRUE
20939785,TRUE
20947295,FALSE
21074359,TRUE
21078609,TRUE
21092436,TRUE
21106348,FALSE
21110703,FALSE
21124674,TRUE
21124677,TRUE
21124678,TRUE
21124679,TRUE
21124680,TRUE
21124682,TRUE
21134339,TRUE
21148744,TRUE
21163478,FALSE
21189208,TRUE
21194691,TRUE
21194692,TRUE
21200178,TRUE
21221214,TRUE
21221215,FALSE
21221216,FALSE
21221220,TRUE
21266635,TRUE
21336095,TRUE
21378581,TRUE
21430861,TRUE
21430863,TRUE
21439784,FALSE
21497098,TRUE
21501466,FALSE
21559097,TRUE
21566470,TRUE
21566473,TRUE
21566475,FALSE
21566484,TRUE
21669369,TRUE
21749939,FALSE
21772619,TRUE
21855279,TRUE
21886917,TRUE
21886937,TRUE
21926470,TRUE
21939608,TRUE
21970333,FALSE
21986747,FALSE
21987513,TRUE
22011635,FALSE
22050862,TRUE
22108259,FALSE
22151841,FALSE
22186527,TRUE
22196211,TRUE
22218386,FALSE
22225733,FALSE
22226609,FALSE
22241606,TRUE
22258777,TRUE
22262379,TRUE
22262616,FALSE
22269302,TRUE
22301263,FALSE
22330974,FALSE
22333865,TRUE
22336979,TRUE
22345803,FALSE
22370060,FALSE
22397846,FALSE
22483143,FALSE
22491630,TRUE
22534069,TRUE
22534689,FALSE
22564517,TRUE
22676321,TRUE
22682470,FALSE
22706835,FALSE
22795753,TRUE
22810437,FALSE
22810439,TRUE
22810442,TRUE
22810447,TRUE
22810451,FALSE
22810452,TRUE
22810459,FALSE
22818274,FALSE
22854998,TRUE
22860705,TRUE
22880706,TRUE
22893880,FALSE
22986592,TRUE
22992859,FALSE
22998720,FALSE
23032589,FALSE
23051784,FALSE
23052126,TRUE
23064832,TRUE
23097066,FALSE
23177521,FALSE
23194956,TRUE
23227160,FALSE
23239930,TRUE
23262825,TRUE
